pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Plasmid: Infectious cDNA Clone of Genotype 1a Hepatitis C Virus H77D,"Although hepatitis C virus (HCV) is a leading cause of cirrhosis and liver cancer, many details of its replication remain obscure, as most HCV strains replicate poorly in cell culture. Furthermore, no effective vaccines are available to date and the mechanism of HCV persistence and carcinogenesis in vivo remain inadequately understood. This plasmid contains infectious molecular clones of H77D virus, a replication competent genotype 1a variant of HCV. These clones are capable of robust replication in cultured cells and could be used to facilitate drug development and the assessment of viral resistance to therapeutics.This plasmid isavailable for distribution from Kerafast and can be found at",https://www.kerafast.com/product/3453/,https://www.kerafast.com/product/3453/,Stanley Lemon,http://technologies.unc.edu/inventors/18584925_stanley-lemon,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#14-0061
Mouse: NLRP3 Null,,https://www.jax.org/strain/021302,https://www.jax.org/strain/021302,Beverly Koller,http://technologies.unc.edu/inventors/18584923_beverly-koller,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#14-0063
Mouse: GPCR Mutation,,A G?s DREADD mouse for selective modulation of cAMP production in striatopallidal neurons,https://www.ncbi.nlm.nih.gov/pubmed/23303063,Bryan Roth,http://technologies.unc.edu/inventors/18584917_bryan-roth,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#14-0085
Mouse: Human IL4/IL13 Receptorand Ligand Expression (I29-1L4R/IL13/IL4),Mice expressing human type I (IL-4),Nouvant,https://www.nouvant.com,Beverly Koller,http://technologies.unc.edu/inventors/18584916_beverly-koller,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#14-0086
Skeletal Representations of Objects,,Nouvant,https://www.nouvant.com,Stephen Pizer,http://technologies.unc.edu/inventors/18584911_stephen-pizer,Copyright Materials  919.966.3929,http://technologies.unc.edu/managers/364_copyright-materials,Copyright Materials  919.966.3929,#14-0106
Device for Accurate Syringe Measurement and Dispensing of Liquids,,Nouvant,https://www.nouvant.com,Stephen Eckel,http://technologies.unc.edu/inventors/18584910_stephen-eckel,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent Pending US 2017/0146381,#14-0122
Minimal-latency Tracking and Display for Matching Real and Virtual Worlds in Head-worn Displays,"Methods, systems, and computer readable media have been developed for minimal-latency tracking and display for matching real and virtual worlds in head-worn displays (i.e., opitical see-through glasses). The system includes a display module, a rendering module, and a processing module. This also offers a new method of reducing latency that takes advantage of the principles of bufferless input/output and “minimal-latency” processing throughout all main components of an AR system, i.e., tracking, rendering, and display. The method calculates a user- perceived image, calculates a desired image, calculates an error image, identifies an error portion, and updates a portion of a projected image. The systems and/or methods have the potential to minimize lag-induced registration errors, which are the main effect of high latency in current systems. This technology can be implemented in software in combination with hardware and/or firmware. In addition to education benefits, societal benefits include more hand-eye coordination and augmented imagery anywhere the user looks. The approach can also benefit research, as it is useful for spatial AR and handheld AR devices that rely on low-latency visual feedback in response to moving objects and gestures.Advantages:•",From Motion to Photons in 80 Microseconds: Towards Minimal Latency for Virtual and Augmented Reality Sign In or Purchase,http://ieeexplore.ieee.org/document/7383304/?arnumber=7383304,Henry Fuchs,http://technologies.unc.edu/inventors/18584909_henry-fuchs,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2017/0345398,#14-0139
Cloud-Scale Image Compression through Redundancy Reduction,"An efficient cloud-scale digital image compression scheme has been developed for use in cloud image storage systems that leverages pixel-wise redundancy between images to minimize each photo’s memory footprint. This novel image compression technique takes full advantage of redundant image data in the cloud by independently compressing each newly uploaded image with its GIST nearest neighbor taken from a representative set of uncompressed images, and thereby efficiently reuses image content which is already stored server-side.Advantages:• Allows online photo sharing websites to significantly reduce their storage requirements• Scales to accommodate large datasets/large-scale image compression• Highly parallelizable for cloud computing•",Cloud-Scale Image Compression Through Content Deduplication,http://www.cs.unc.edu/~jmf/publications/PerraFrahmBMVC2014.pdf,Jan-Michael Frahm,http://technologies.unc.edu/inventors/18584908_jan-michael-frahm,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2017/0195678,#14-0142
IMAGIN: High-definition High-Dynamic-Range Camera Sensor,"A novel image sensing architecture has been developed that boosts the dynamic range as well as the definition of camera images. The innovation lies not in the design of the photodetector (sensor), but in the data encoding and the communication and processing architecture. Tradeoffs between frame rates, electronic shutter speeds, dark current and bright saturation are optimized for various target applications, with enhancements such as Regions Of Interest (ROI) for higher frame rates, and composition of multiple frames with varying exposure times for improved dynamic range. The methods improve the process of data acquisition from a spatially distributed array of analog continuous time sensors. In general, these methods can be applied to any collection of spatially distinct positive-definite continuous-time continuous-level signal sources, the desired outputs of which are to be discretely digitized representations of their respective time integrals.Advantages:•",Nouvant,https://www.nouvant.com,Montek Singh,http://technologies.unc.edu/inventors/18584907_montek-singh,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2017/0126991,#14-0143
Plasmid: Mutant FabI Selection Marker,,A Novel Selection Marker for Efficient DNA Cloning and Recombineering in E. coli,https://www.ncbi.nlm.nih.gov/pubmed/23437314,Terry Magnuson,http://technologies.unc.edu/inventors/18584905_terry-magnuson,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#13-0024
Optical See-Through Head Worn Display Using Multiple Light Attenuating Layers,"New optical see-through glasses have been developed that integrate virtual imagery with high visual fidelity into a compact slim display that supports a wide field of view. The use of multiple imaging masking layers allows for simultaneous viewing of real-world objects and virtual objects that can be implemented for several purposes in the realm of augmented reality. Companies engaged in augmented reality could develop the current design for use in a variety of purposes, such as telepresence, simulation and training, and navigation.Advantages:Likely the only see-through device to support all of the following qualities:• Wide field of view• Compact design• Multiple simultaneous focal distances•",Computational augmented reality eyeglasses,http://ieeexplore.ieee.org/document/6671761/?arnumber=6671761,Andrew Maimone,http://technologies.unc.edu/inventors/18584900_andrew-maimone,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,858,721",#13-0039
A Synthetic Route to Pactamycin Amenable to Analog Preparation,"A key intermediate has been developed in a short, asymmetric total synthesis of pactamycin that is amenable to analog preparation. Pactamycin is a natural product that demonstrates potent anti-tumor, anti-microbial, and anti-viral activities, but its development as a drug candidate is hindered by its high cytotoxicity. Recent pactamycin analogues derived from genetic engineering techniques show reduced toxicities, but genetic engineering approaches to generate pactamycin analogues are limited in flexibility and diversity. Conversely, an efficient chemical approach offers the potential for greater scope in the creation of pactamycin analogues. The cyclopentenone core intermediate is prepared from intramolecular aldol condensation of the claimed aldehyde precursor. This intermediate has been used to synthesize pactamycin.Advantages:• Modular total synthesis is 15 steps from commercially available starting materials•","Enantioselective synthesis of pactamycin, a complex antitumor antibiotic.",https://www.ncbi.nlm.nih.gov/pubmed?term=((chapel%20hill%5BAffiliation%5D)%20AND%20pactamycin)%20AND%20%22science%22%5BJournal%5D,Jeffrey Johnson,http://technologies.unc.edu/inventors/18584899_jeffrey-johnson,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Pactamycin,#13-0041
